,Title,Worldwide_Lifetime_Gross,Domestic_Lifetime_Gross,Domestic_Percentage,Foreign_Lifetime_Gross,Foreign_Lifetime_Percentage,Year,IMDB_ID,Belongs_To_Collection,Budget,Genres,Original_Language,Popularity,Release_date,Runtime,Production_Company
169,Iron Man,585366247,318604126,54.4%,266762121,45.6%,2008,tt0371746,131292,140000000,'Action',en,39.736999999999995,2008-04-30,126.0,Marvel Studios
170,Ready Player One,582890172,137690172,23.6%,445200000,76.4%,2018,tt1677720,No Collection,175000000,'Adventure',en,30.67,2018-03-28,140.0,Amblin Entertainment
171,Operation Red Sea,579330426,1543547,0.3%,577786879,99.7%,2018,tt6878882,No Collection,70000000,'Action',zh,11.335999999999999,2018-02-16,142.0,Bona Film
172,Night at the Museum,574480841,250863268,43.7%,323617573,56.3%,2006,tt0477347,85943,110000000,'Action',en,19.645,2006-10-20,108.0,1492 Pictures
173,Fifty Shades of Grey,569651467,166167230,29.2%,403484237,70.8%,2015,tt2322441,344830,40000000,'Drama',en,26.32,2015-02-11,125.0,Focus Features
174,Kong: Skull Island,566652812,168052812,29.7%,398600000,70.3%,2017,tt3731562,535313,185000000,'Action',en,32.176,2017-03-08,118.0,Legendary Entertainment
175,The Smurfs,563749323,142614158,25.3%,421135165,74.7%,2011,tt0472181,134897,110000000,'Animation',en,17.998,2011-07-29,103.0,Sony Pictures
176,King Kong,562363449,218080025,38.8%,344283424,61.2%,2005,tt0360717,No Collection,207000000,'Adventure',en,27.455,2005-12-12,187.0,Universal Pictures
177,Cars 2,559852396,191452396,34.2%,368400000,65.8%,2011,tt1216475,87118,200000000,'Animation',en,24.339000000000002,2011-06-11,106.0,Pixar
178,Puss in Boots,554987477,149260504,26.9%,405726973,73.1%,2011,tt0448694,94602,130000000,'Action',en,16.027,2011-10-28,90.0,DreamWorks Animation
179,The Mermaid,553810228,3232685,0.6%,550577543,99.4%,2016,tt4701660,No Collection,60720000,'Comedy',zh,9.648,2016-02-08,93.0,China Film
180,Armageddon,553709788,201578182,36.4%,352131606,63.6%,1998,tt0120591,No Collection,140000000,'Action',en,22.828000000000003,1998-07-01,151.0,Touchstone Pictures
181,The Day After Tomorrow,552639571,186740799,33.8%,365898772,66.2%,2004,tt0319262,No Collection,125000000,'Action',en,12.773,2004-05-26,124.0,Mel's Cite
182,Ted,549368315,218815487,39.8%,330552828,60.2%,2012,tt1637725,266672,50000000,'Comedy',en,23.863000000000003,2012-06-29,107.0,Universal Pictures
183,Star Wars: Episode V - The Empire Strikes Back,547897454,290271960,53%,257625494,47%,1980,tt0080684,10,18000000,'Adventure',en,25.075,1980-05-20,124.0,Lucasfilm
184,American Sniper,547426372,350126372,64%,197300000,36%,2014,tt2179136,No Collection,58800000,'War',en,20.235,2014-12-11,133.0,RatPac-Dune Entertainment
185,Mission: Impossible II,546388108,215409889,39.4%,330978219,60.6%,2000,tt0120755,87359,125000000,'Adventure',en,26.701999999999998,2000-05-24,123.0,Paramount
186,Detective Chinatown 2,544185156,1983984,0.4%,542201172,99.6%,2018,tt7752454,525451,0,'Comedy',zh,3.0039999999999996,2018-02-16,121.0,"Wanda"" Pictures"
187,X-Men: Apocalypse,543934105,155442489,28.6%,388491616,71.4%,2016,tt3385516,748,178000000,'Action',en,25.218000000000004,2016-05-18,144.0,The Donners
188,Sherlock Holmes: A Game of Shadows,543848418,186848418,34.4%,357000000,65.6%,2011,tt1515091,102322,125000000,'Adventure',en,28.458000000000002,2011-11-22,129.0,Village Roadshow
189,Despicable Me,543113985,251513985,46.3%,291600000,53.7%,2010,tt1323594,86066,69000000,'Animation',en,26.901,2010-07-08,95.0,Illumination Entertainment
190,Cinderella,542351353,201151353,37.1%,341200000,62.9%,2015,tt1661199,No Collection,95000000,'Romance',en,33.5,2015-03-12,105.0,Walt Disney
191,Madagascar,542063846,193595521,35.7%,348468325,64.3%,2005,tt0351283,14740,75000000,'Family',en,22.752,2005-05-25,86.0,Pacific Data
192,World War Z,540007876,202359711,37.5%,337648165,62.5%,2013,tt0816711,No Collection,200000000,'Action',en,24.445999999999998,2013-06-20,116.0,GK Films
193,Brave,538983207,237283207,44%,301700000,56%,2012,tt1217209,No Collection,185000000,'Animation',en,32.841,2012-06-21,93.0,Pixar
194,The Simpsons Movie,536414270,183135014,34.1%,353279256,65.9%,2007,tt0462538,No Collection,75000000,'Animation',en,15.739,2007-07-26,87.0,AKOM Production
195,The Revenant,532950503,183637894,34.5%,349312609,65.5%,2015,tt1663202,No Collection,135000000,'Western',en,22.98,2015-12-25,157.0,Monarchy Enterprises
196,The Meg,530243742,145443742,27.4%,384800000,72.6%,2018,tt4779682,No Collection,150000000,'Action',en,30.414,2018-08-09,113.0,Apelles Entertainment
197,Ralph Breaks the Internet,529323962,201091711,38%,328232251,62%,2018,tt5848272,404825,175000000,'Family',en,32.467,2018-11-20,112.0,Walt Disney
198,Hotel Transylvania 3: Summer Vacation,528583774,167510016,31.7%,361073758,68.3%,2018,tt5220122,185103,80000000,'Family',en,19.455,2018-06-28,97.0,Columbia Pictures
199,The Boss Baby,527965936,175003033,33.2%,352962903,66.8%,2017,tt3874544,519457,125000000,'Animation',en,10.025,2017-03-23,97.0,DreamWorks Animation
200,Dunkirk,526940665,189740665,36%,337200000,64%,2017,tt5013056,No Collection,100000000,'War',en,30.166,2017-07-19,107.0,RatPac-Dune Entertainment
201,Godzilla,524976069,200676069,38.2%,324300000,61.8%,2014,tt0831387,535313,160000000,'Action',en,21.662,2014-05-14,123.0,RatPac-Dune Entertainment
202,Sherlock Holmes,524028679,209028679,39.9%,315000000,60.1%,2009,tt0988045,102322,90000000,'Action',en,22.943,2009-12-23,129.0,Village Roadshow
203,Meet the Fockers,522657936,279261160,53.4%,243396776,46.6%,2004,tt0290002,51509,80000000,'Comedy',en,17.037,2004-12-22,115.0,Universal Pictures
204,How to Train Your Dragon: The Hidden World,521799505,160799505,30.8%,361000000,69.2%,2019,tt2386490,89137,129000000,'Animation',en,31.954,2019-01-03,104.0,DreamWorks Animation
205,WALL·E,521311860,223808164,42.9%,297503696,57.1%,2008,tt0910970,No Collection,180000000,'Animation',en,29.675,2008-06-22,98.0,Pixar
206,Kung Fu Panda 3,521170825,143528619,27.5%,377642206,72.5%,2016,tt2267968,77816,145000000,'Action',en,26.011,2016-01-23,95.0,Pearl Studio
207,Terminator 2: Judgment Day,520884847,205881154,39.5%,315003693,60.5%,1991,tt0103064,528,102000000,'Action',en,33.048,1991-07-03,156.0,T2 Productions
208,Ant-Man,519311965,180202163,34.7%,339109802,65.3%,2015,tt0478970,422834,130000000,'Science,en,33.361999999999995,2015-07-14,117.0,Marvel Studios
209,The Grinch,511595957,270620950,52.9%,240975007,47.1%,2018,tt2709692,No Collection,75000000,'Animation',en,16.98,2018-11-08,90.0,Universal Pictures
210,Ghost,505869714,217631306,43%,288238408,57%,1990,tt0099653,No Collection,22000000,'Fantasy',en,18.340999999999998,1990-07-12,127.0,Paramount
211,Aladdin,504050219,217350219,43.1%,286700000,56.9%,1992,tt0103639,86027,28000000,'Animation',en,32.416,1992-11-25,90.0,Walt Disney
212,Rio 2,498781117,131538435,26.4%,367242682,73.6%,2014,tt2357291,229932,103000000,'Adventure',en,17.99,2014-03-19,102.0,Blue Sky
213,Troy,497409852,133378256,26.8%,364031596,73.2%,2004,tt0332452,No Collection,175000000,'Adventure',en,27.546,2004-05-03,163.0,Radiant Productions
214,Toy Story 2,497374776,245852179,49.4%,251522597,50.6%,1999,tt0120363,10194,90000000,'Animation',en,29.323,1999-10-30,92.0,Pixar
215,How to Train Your Dragon,494878759,217581231,44%,277297528,56%,2010,tt0892769,89137,165000000,'Fantasy',en,26.526,2010-03-10,100.0,DreamWorks Animation
216,Twister,494471524,241721524,48.9%,252750000,51.1%,1996,tt0117998,No Collection,92000000,'Action',en,14.192,1996-05-10,113.0,Constant c
217,Oz the Great and Powerful,493311825,234911825,47.6%,258400000,52.4%,2013,tt1623205,No Collection,200000000,'Fantasy',en,17.965999999999998,2013-03-07,130.0,Roth Films
218,Clash of the Titans,493214993,163214888,33.1%,330000105,66.9%,2010,tt0800320,86780,125000000,'Adventure',en,26.643,2010-04-01,106.0,The Zanuck
219,Maleficent: Mistress of Evil,491730089,113929605,23.2%,377800484,76.8%,2019,tt4777008,531331,185000000,'Fantasy',en,34.777,2019-10-16,118.0,Walt Disney
220,War for the Planet of the Apes,490719763,146880162,29.9%,343839601,70.1%,2017,tt3450958,173710,150000000,'Drama',en,28.568,2017-07-11,140.0,TSG Entertainment
221,Mr. & Mrs. Smith,487287646,186336279,38.2%,300951367,61.8%,2005,tt0356910,No Collection,110000000,'Action',en,23.654,2005-06-07,120.0,Epsilon Motion
222,Angels & Demons,485930816,133375846,27.4%,352554970,72.6%,2009,tt0808151,115776,150000000,'Thriller',en,16.829,2009-05-13,138.0,Columbia Pictures
223,Teenage Mutant Ninja Turtles,485004754,191204754,39.4%,293800000,60.6%,2014,tt1291150,401562,125000000,'Science,en,39.591,2014-08-07,101.0,Nickelodeon Movies
224,Bruce Almighty,484592874,242829261,50.1%,241763613,49.9%,2003,tt0315327,124949,80000000,'Fantasy',en,39.959,2003-05-23,101.0,Pit Bull
225,Shrek,484409218,267665011,55.3%,216744207,44.7%,2001,tt0126029,2150,60000000,'Adventure',en,30.144000000000002,2001-05-18,90.0,DreamWorks Animation
226,Rio,483866518,143619809,29.7%,340246709,70.3%,2011,tt1436562,229932,90000000,'Animation',en,20.459,2011-04-03,96.0,Blue Sky
227,Saving Private Ryan,482349603,217049603,45%,265300000,55%,1998,tt0120815,No Collection,70000000,'Drama',en,29.753,1998-07-24,169.0,Paramount
228,Rise of the Planet of the Apes,481800873,176760185,36.7%,305040688,63.3%,2011,tt1318514,173710,93000000,'Thriller',en,24.601999999999997,2011-08-03,105.0,Dune Entertainment
229,Home Alone,477063114,285761243,59.9%,191301871,40.1%,1990,tt0099785,9888,18000000,'Comedy',en,1.002,1990-11-09,103.0,Hughes Entertainment
230,Star Wars: Episode VI - Return of the Jedi,475347111,309306177,65.1%,166040934,34.9%,1983,tt0086190,10,32350000,'Adventure',en,26.623,1983-05-25,135.0,Lucasfilm
231,Charlie and the Chocolate Factory,474968763,206459076,43.5%,268509687,56.5%,2005,tt0367594,No Collection,150000000,'Adventure',en,28.497,2005-07-13,115.0,Village Roadshow
232,Hotel Transylvania 2,474800000,169700110,35.7%,305099890,64.3%,2015,tt2510894,185103,80000000,'Animation',en,16.567999999999998,2015-09-21,89.0,Sony Pictures
233,Indiana Jones and the Last Crusade,474310887,197171806,41.6%,277139081,58.4%,1989,tt0097576,84,48000000,'Adventure',en,27.708000000000002,1989-05-24,127.0,Lucasfilm
234,San Andreas,473990832,155190832,32.7%,318800000,67.3%,2015,tt2126355,No Collection,110000000,'Action',en,23.676,2015-05-27,114.0,New Line
235,It Chapter Two,473093228,211593228,44.7%,261500000,55.3%,2019,tt7349950,477962,79000000,'Horror',en,38.601,2019-09-04,169.0,Lin Pictures
236,Wreck-It Ralph,471222889,189422889,40.2%,281800000,59.8%,2012,tt1772341,404825,165000000,'Family',en,25.193,2012-11-01,101.0,Walt Disney
237,Jaws,471203004,260000000,55.2%,211203004,44.8%,1975,tt0073195,2366,7000000,'Horror',en,30.482,1975-06-18,124.0,Zanuck/Brown Productions
238,The Hangover,469310836,277322503,59.1%,191988333,40.9%,2009,tt1119646,86119,35000000,'Comedy',en,21.491999999999997,2009-06-02,100.0,Legendary Entertainment
239,The Lego Movie,468060692,257760692,55.1%,210300000,44.9%,2014,tt1490017,325470,60000000,'Adventure',en,20.781999999999996,2014-02-06,100.0,Lin Pictures
240,Bumblebee,467989645,127195589,27.2%,340794056,72.8%,2018,tt4701182,8650,135000000,'Action',en,28.935,2018-12-15,114.0,Hasbro
241,Star Trek Into Darkness,467365246,228778661,49%,238586585,51%,2013,tt1408101,115575,190000000,'Action',en,24.635,2013-05-05,132.0,Bad Robot
242,The Matrix,465343787,171479930,36.8%,293863857,63.2%,1999,tt0133093,2344,63000000,'Action',en,40.794000000000004,1999-03-30,136.0,Village Roadshow
243,Pretty Woman,463406268,178406268,38.5%,285000000,61.5%,1990,tt0100405,No Collection,14000000,'Romance',en,20.051,1990-03-23,119.0,Touchstone Pictures
244,Cars,461983149,244082982,52.8%,217900167,47.2%,2006,tt0317219,87118,120000000,'Animation',en,86.979,2006-06-08,117.0,Pixar
245,Gladiator,460583960,187705427,40.8%,272878533,59.2%,2000,tt0172495,No Collection,103000000,'Action',en,63.098,2000-05-01,171.0,Universal Pictures
246,X-Men: The Last Stand,460435291,234362462,50.9%,226072829,49.1%,2006,tt0376994,748,210000000,'Adventure',en,1.2009999999999998,2006-05-24,104.0,Marvel Enterprises
247,National Treasure: Book of Secrets,459242249,219964115,47.9%,239278134,52.1%,2007,tt0465234,52984,130000000,'Action',en,15.909,2007-12-13,124.0,Walt Disney
248,Lucy,458863600,126663600,27.6%,332200000,72.4%,2014,tt2872732,No Collection,40000000,'Action',en,25.57,2014-07-25,89.0,EuropaCorp
249,Mission: Impossible,457731198,180981856,39.5%,276749342,60.5%,1996,tt0117060,87359,80000000,'Adventure',en,27.249000000000002,1996-05-22,110.0,Paramount
250,300,456068181,210614939,46.2%,245453242,53.8%,2007,tt0416449,125570,65000000,'Action',en,16.813,2007-03-07,117.0,Virtual Studios
251,The Last Samurai,454627263,111127263,24.4%,343500000,75.6%,2003,tt0325710,No Collection,140000000,'Drama',en,19.272000000000002,2003-01-09,154.0,Cruise/Wagner Productions
252,Dying to Survive,451183391,6752,-,451176639,100%,2018,tt7362036,No Collection,0,'Drama',zh,5.195,2018-07-06,117.0,Huanxi Media
253,Ocean's Eleven,450717150,183417150,40.7%,267300000,59.3%,2001,tt0240772,304,85000000,'Thriller',en,28.291,2001-12-07,116.0,WV Films
255,Thor,449326618,181030624,40.3%,268295994,59.7%,2011,tt0800369,131296,150000000,'Adventure',en,30.511,2011-04-21,115.0,Marvel Studios
256,Pearl Harbor,449220945,198542554,44.2%,250678391,55.8%,2001,tt0213149,No Collection,140000000,'History',en,22.467,2001-05-21,183.0,Jerry Bruckheimer
257,Tarzan,448191819,171091819,38.2%,277100000,61.8%,1999,tt0120855,106768,130000000,'Adventure',en,23.622,1999-06-18,88.0,Walt Disney
258,La La Land,446486224,151101803,33.8%,295384421,66.2%,2016,tt3783958,No Collection,30000000,'Comedy',en,30.699,2016-11-29,129.0,Summit Entertainment
259,Men in Black II,445135288,193735288,43.5%,251400000,56.5%,2002,tt0120912,86055,140000000,'Action',en,32.696,2002-07-03,88.0,Parkes+MacDonald Image
260,The Bourne Ultimatum,444100035,227471070,51.2%,216628965,48.8%,2007,tt0440963,31562,70000000,'Action',en,17.324,2007-08-03,115.0,Universal Pictures
261,The Mummy Returns,443280904,202019785,45.6%,241261119,54.4%,2001,tt0209163,1733,98000000,'Adventure',en,23.323,2001-05-04,130.0,Universal Pictures
262,Alvin and the Chipmunks: The Squeakquel,443140005,219614612,49.6%,223525393,50.4%,2009,tt1231580,167613,75000000,'Comedy',en,17.037,2009-12-21,88.0,Fox 2000
263,Les Misérables,441809770,148809770,33.7%,293000000,66.3%,2012,tt1707386,No Collection,61000000,'History',en,14.634,2012-12-18,157.0,Working Title
264,The Exorcist,441306145,232906145,52.8%,208400000,47.2%,1973,tt0070047,12263,8000000,'Horror',en,20.011,1973-05-31,122.0,Hoya Productions
265,Mrs. Doubtfire,441286195,219195243,49.7%,222090952,50.3%,1993,tt0107614,No Collection,25000000,'Comedy',en,19.352999999999998,1993-11-24,125.0,Blue Wolf
266,Terminator Genisys,440603537,89760956,20.4%,350842581,79.6%,2015,tt1340138,528,155000000,'Science,en,47.38399999999999,2015-06-23,126.0,Skydance Media
267,Beauty and the Beast,440118382,218967620,49.8%,221150762,50.2%,1991,tt0101414,153010,25000000,'Romance',en,27.956,1991-11-13,84.0,Walt Disney
268,Warcraft,439048914,47365290,10.8%,391683624,89.2%,2016,tt0803096,No Collection,160000000,'Action',en,21.372,2016-05-25,123.0,Legendary Entertainment
269,A Star Is Born,436188866,215288866,49.4%,220900000,50.6%,2018,tt1517451,No Collection,36000000,'Drama',en,23.886,2018-10-03,136.0,Thunder Road
270,The Greatest Showman,434993183,174340174,40.1%,260653009,59.9%,2017,tt1485796,No Collection,84000000,'Drama',en,30.193,2017-12-20,105.0,Chernin Entertainment
271,Terminator 3: Rise of the Machines,433371112,150371112,34.7%,283000000,65.3%,2003,tt0181852,528,200000000,'Action',en,23.357,2003-07-02,109.0,Columbia Pictures
272,Pokémon Detective Pikachu,433005346,144105346,33.3%,288900000,66.7%,2019,tt5884052,No Collection,150000000,'Action',en,31.479,2019-05-03,105.0,Legendary Entertainment
273,Die Another Day,431971116,160942139,37.3%,271028977,62.7%,2002,tt0246460,645,140000000,'Adventure',en,22.230999999999998,2002-11-17,133.0,Eon Productions
274,The Secret Life of Pets 2,430051293,158874395,36.9%,271176898,63.1%,2019,tt5113040,427084,80000000,'Adventure',en,22.878,2019-05-24,86.0,Universal Pictures
275,Cast Away,429632142,233632142,54.4%,196000000,45.6%,2000,tt0162222,No Collection,90000000,'Adventure',en,19.55,2000-12-22,143.0,Playtone
276,Rampage,428028233,101028233,23.6%,327000000,76.4%,2018,tt2231461,No Collection,120000000,'Action',en,25.883000000000003,2018-04-12,107.0,Wrigley ictures
277,The King's Speech,427374317,138797449,32.5%,288576868,67.5%,2010,tt1504320,No Collection,15000000,'Drama',en,19.389,2010-09-06,118.0,The Weinstein
278,The Matrix Revolutions,427344031,139313948,32.6%,288030083,67.4%,2003,tt0242653,2344,150000000,'Adventure',en,22.034000000000002,2003-11-03,129.0,Silver Pictures
279,The Intouchables,426588510,10198820,2.4%,416389690,97.6%,2011,tt1675434,No Collection,13000000,'Drama',fr,27.23,2011-11-02,113.0,Gaumont
280,Django Unchained,425368238,162805434,38.3%,262562804,61.7%,2012,tt1853728,No Collection,100000000,'Drama',en,33.986,2012-12-25,165.0,The Weinstein
281,Dances with Wolves,424208848,184208848,43.4%,240000000,56.6%,1990,tt0099348,No Collection,22000000,'Adventure',en,18.869,1990-03-30,181.0,Tig Productions
282,The Chronicles of Narnia: Prince Caspian,419665568,141621490,33.8%,278044078,66.2%,2008,tt0499448,420,225000000,'Adventure',en,21.712,2008-05-15,150.0,Walt Disney
283,Bad Boys for Life,419074646,204417855,48.8%,214656791,51.2%,2020,tt1502397,14890,0,'Thriller',en,95.28299999999999,2020-01-15,124.0,Darren Star
284,Sex and the City,418765321,152647258,36.4%,266118063,63.6%,2008,tt1000774,50457,65000000,'Comedy',en,13.83,2008-05-12,145.0,Universal Pictures
286,The Mummy,415933406,155385488,37.4%,260547918,62.6%,1999,tt0120616,1733,80000000,'Adventure',en,22.078000000000003,1999-04-16,124.0,Walden Media
287,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,104386950,25.1%,311299267,74.9%,2010,tt0980970,420,155000000,'Adventure',en,23.415,2010-12-08,113.0,The Kennedy/Marshall
288,Jason Bourne,415484914,162434410,39.1%,253050504,60.9%,2016,tt4196776,31562,120000000,'Action',en,23.381999999999998,2016-07-27,123.0,The Donners
289,The Wolverine,414828246,132556852,32%,282271394,68%,2013,tt1430132,453993,120000000,'Action',en,4.402,2013-07-23,126.0,TSG Entertainment
290,Kingsman: The Secret Service,414351546,128261724,31%,286089822,69%,2015,tt2802144,391860,81000000,'Crime',en,28.498,2014-12-13,129.0,21 Laps
291,Night at the Museum: Battle of the Smithsonian,413106170,177243721,42.9%,235862449,57.1%,2009,tt1078912,85943,150000000,'Adventure',en,20.975,2009-05-20,105.0,PolyGram Filmed
292,Batman,411556825,251348343,61.1%,160208482,38.9%,1989,tt0096895,120794,35000000,'Fantasy',en,23.570999999999998,1989-06-23,126.0,Kasdan Pictures
293,The Bodyguard,411006740,122006740,29.7%,289000000,70.3%,1992,tt0103855,No Collection,25000000,'Thriller',en,11.838,1992-11-25,129.0,Double Dare
294,Pacific Rim,411002906,101802906,24.8%,309200000,75.2%,2013,tt1663662,363369,180000000,'Action',en,32.79,2013-07-11,131.0,TSG Entertainment
295,Kingsman: The Golden Circle,410902662,100234838,24.4%,310667824,75.6%,2017,tt4649466,391860,104000000,'Action',en,29.679000000000002,2017-09-20,141.0,Secret Hideout
296,The Mummy,409231607,80227895,19.6%,329003712,80.4%,2017,tt2345759,No Collection,125000000,'Fantasy',en,26.573,2017-06-06,110.0,Blue Sky
297,Ice Age: Collision Course,408579038,64063008,15.7%,344516030,84.3%,2016,tt3416828,8354,105000000,'Adventure',en,21.473000000000003,2016-06-23,95.0,Twilight Productions
298,Twilight,408424673,193962473,47.5%,214462200,52.5%,2008,tt1099212,33514,37000000,'Fantasy',en,38.529,2008-11-20,122.0,Touchstone Pictures
299,Signs,408247917,227966634,55.8%,180281283,44.2%,2002,tt0286106,No Collection,72000000,'Drama',en,19.919,2002-08-02,106.0,XM2 Productions
300,X2: X-Men United,407711549,214949694,52.7%,192761855,47.3%,2003,tt0290334,748,110000000,'Adventure',en,1.4480000000000002,2003-04-24,133.0,Columbia Pictures
301,Alita: Battle Angel,404852543,85710210,21.2%,319142333,78.8%,2019,tt0437086,No Collection,170000000,'Action',en,38.497,2019-01-31,122.0,Troublemaker Studios
302,Toy Story,404265438,222498679,55%,181766759,45%,1995,tt0114709,10194,30000000,'Animation',en,37.772,1995-10-30,81.0,Pixar
303,The Mummy: Tomb of the Dragon Emperor,403449830,102491776,25.4%,300958054,74.6%,2008,tt0859163,1733,145000000,'Adventure',en,17.5,2008-07-01,112.0,Universal Pictures
304,Prometheus,403354469,126477084,31.4%,276877385,68.6%,2012,tt1446714,135416,130000000,'Science,en,28.647,2012-05-30,124.0,Dune Entertainment
305,Gone with the Wind,402352579,200852579,49.9%,201500000,50.1%,1939,tt0031381,No Collection,4000000,'Drama',en,20.811,1939-12-15,233.0,Selznick International
306,TRON: Legacy,400062763,172062763,43%,228000000,57%,2010,tt1104001,63043,170000000,'Adventure',en,16.445999999999998,2010-12-10,125.0,Revolution Sun
307,Mission: Impossible III,398479497,134029801,33.6%,264449696,66.4%,2005,tt0317919,87359,150000000,'Adventure',en,24.752,2006-05-03,126.0,Studio Babelsberg
308,Grease,396961563,189969103,47.9%,206992460,52.1%,1978,tt0077631,86083,6000000,'Romance',en,27.378,1978-07-07,110.0,Paramount
309,Snow White and the Huntsman,396592829,155332381,39.2%,241260448,60.8%,2012,tt1735898,393379,170000000,'Adventure',en,20.35,2012-05-30,127.0,Universal Pictures
310,Mamma Mia! Here We Go Again,395044706,120634935,30.5%,274409771,69.5%,2018,tt6911608,458558,75000000,'Comedy',en,14.479000000000001,2018-07-09,113.0,Legendary Entertainment
311,Solo: A Star Wars Story,392924807,213767512,54.4%,179157295,45.6%,2018,tt3778644,693529,250000000,'Adventure',en,40.076,2018-05-15,135.0,Lucasfilm
312,The Wolf of Wall Street,392000694,116900694,29.8%,275100000,70.2%,2013,tt0993846,No Collection,100000000,'Crime',en,32.556,2013-12-25,180.0,EMJAG Productions
313,Superman Returns,391081192,200081192,51.2%,191000000,48.8%,2006,tt0348150,8537,270000000,'Science,en,14.83,2006-06-28,154.0,DC Comics
314,Robin Hood: Prince of Thieves,390493908,165493908,42.4%,225000000,57.6%,1991,tt0102798,No Collection,48000000,'Adventure',en,12.776,1991-06-14,143.0,Morgan Creek
315,Indiana Jones and the Raiders of the Lost Ark,390133212,248159971,63.6%,141973241,36.4%,1981,tt0082971,84,18000000,'Adventure',en,27.971999999999998,1981-06-12,115.0,Lucasfilm
316,Independence Day: Resurgence,389681935,103144286,26.5%,286537649,73.5%,2016,tt1628841,304378,165000000,'Action',en,20.629,2016-06-22,120.0,Centropolis Entertainment
317,Back to the Future,388355305,211159762,54.4%,177195543,45.6%,1985,tt0088763,264,19000000,'Adventure',en,35.343,1985-07-03,116.0,U-Drive Productions
318,Live Free or Die Hard,388156011,134529403,34.7%,253626608,65.3%,2007,tt0337978,1570,110000000,'Action',en,23.715999999999998,2007-06-20,128.0,Dune Entertainment
319,Monster Hunt,387053506,32766,<0.1%,387020740,100%,2015,tt3781476,519163,0,'Comedy',zh,6.684,2015-07-16,111.0,Edko Films
320,Godzilla: King of the Monsters,386600138,110500138,28.6%,276100000,71.4%,2019,tt3741700,535313,170000000,'Science,en,29.982,2019-05-29,132.0,Legendary Entertainment
321,Home,386041607,177397510,46%,208644097,54%,2015,tt2224026,No Collection,135000000,'Fantasy',en,15.003,2015-03-18,94.0,DreamWorks Animation
322,Star Trek,385680446,257730019,66.8%,127950427,33.2%,2009,tt0796366,115575,150000000,'Science,en,23.691,2009-05-06,127.0,Paramount
323,Happy Feet,384335608,198000317,51.5%,186335291,48.5%,2006,tt0366548,92012,100000000,'Animation',en,14.872,2006-11-16,108.0,Kennedy Miller
324,Cars 3,383930656,152901115,39.8%,231029541,60.2%,2017,tt3606752,87118,175000000,'Adventure',en,19.246,2017-06-15,102.0,Pixar
325,Ice Age,383257136,176387405,46%,206869731,54%,2002,tt0268380,8354,59000000,'Animation',en,26.866,2002-03-10,81.0,Blue Sky
326,Fifty Shades Darker,381545846,114581250,30%,266964596,70%,2017,tt4465564,344830,55000000,'Drama',en,14.415999999999999,2017-02-08,118.0,Universal Pictures
327,Monsters vs. Aliens,381509870,198351526,52%,183158344,48%,2009,tt0892782,709021,175000000,'Animation',en,14.935,2009-03-19,94.0,DreamWorks Animation
328,Godzilla,379014294,136314294,36%,242700000,64%,1998,tt0120685,No Collection,130000000,'Science,en,14.477,1998-05-20,139.0,Toho Company
329,True Lies,378882411,146282411,38.6%,232600000,61.4%,1994,tt0111503,No Collection,115000000,'Action',en,14.637,1994-07-15,141.0,Lightstorm Entertainment
330,Slumdog Millionaire,378021385,141319928,37.4%,236701457,62.6%,2008,tt1010048,No Collection,15000000,'Drama',en,22.373,2008-05-12,120.0,Celador Films
331,Taken 2,376141306,139854287,37.2%,236287019,62.8%,2012,tt1397280,135483,45000000,'Action',en,13.735999999999999,2012-09-27,91.0,EuropaCorp
332,G.I. Joe: Retaliation,375740705,122523060,32.6%,253217645,67.4%,2013,tt1583421,135468,130000000,'Adventure',en,23.296,2013-03-26,110.0,Paramount
333,Spider-Man: Into the Spider-Verse,375540831,190241310,50.7%,185299521,49.3%,2018,tt4633694,573436,90000000,'Action',en,42.732,2018-12-06,117.0,Columbia Pictures
334,Mad Max: Fury Road,375209362,154058340,41.1%,221151022,58.9%,2015,tt1392190,8945,150000000,'Action',en,32.285,2015-05-13,121.0,Village Roadshow
335,Shark Tale,374583879,160861908,42.9%,213721971,57.1%,2004,tt0307453,No Collection,75000000,'Animation',en,24.343000000000004,2004-09-20,90.0,DreamWorks Animation
336,Once Upon a Time... in Hollywood,374343626,142502728,38.1%,231840898,61.9%,2019,tt7131622,No Collection,95000000,'Comedy',en,50.702,2019-07-25,162.0,Heyday Films
337,What Women Want,374111707,182811707,48.9%,191300000,51.1%,2000,tt0207201,No Collection,70000000,'Comedy',en,17.202,2000-12-15,127.0,Centropolis Entertainment
338,The Adventures of Tintin,373993951,77591831,20.8%,296402120,79.2%,2011,tt0983193,561263,130000000,'Adventure',en,17.976,2011-10-25,107.0,Paramount
339,Penguins of Madagascar,373515621,83850911,22.4%,289664710,77.6%,2014,tt1911658,No Collection,132000000,'Family',en,20.195,2014-11-22,92.0,DreamWorks Animation
340,Batman Begins,373413297,206852432,55.4%,166560865,44.6%,2005,tt0372784,263,150000000,'Action',en,48.013000000000005,2005-06-10,140.0,DC Comics
341,X-Men Origins: Wolverine,373062864,179883157,48.2%,193179707,51.8%,2009,tt0458525,453993,150000000,'Adventure',en,2.331,2009-04-28,107.0,Marvel Entertainment
