,Title,Worldwide_Lifetime_Gross,Domestic_Lifetime_Gross,Domestic_Percentage,Foreign_Lifetime_Gross,Foreign_Lifetime_Percentage,Year,IMDB_ID,Belongs_To_Collection,Budget,Genres,Original_Language,Popularity,Release_date,Runtime,Production_Company
853,Abominable,189892513,60716390,32%,129176123,68%,2019,tt6324278,No Collection,75000000,'Animation',en,22.13,2019-09-19,92.0,DreamWorks Animation
854,Outbreak,189859560,67659560,35.6%,122200000,64.4%,1995,tt0114069,No Collection,50000000,'Action',en,15.378,1995-03-10,127.0,Universe Films
855,The Santa Clause,189833357,144833357,76.3%,45000000,23.7%,1994,tt0111070,53159,22000000,'Fantasy',en,12.184000000000001,1994-11-10,97.0,Ten Thirteen
856,The White Storm 2: Drug Lords,189396380,609461,0.3%,188786919,99.7%,2019,tt8239806,644309,25000000,'Action',cn,4.102,2019-07-04,100.0,东阳坏猴子影视文化传播有限公司
857,The X Files,189176423,83898313,44.4%,105278110,55.6%,1998,tt0120902,19387,66000000,'Mystery',en,11.169,1998-06-19,121.0,TriStar Pictures
858,Breakup Buddies,189017596,777896,0.4%,188239700,99.6%,2014,tt3890264,No Collection,0,'Comedy',zh,4.395,2014-09-26,116.0,DC Entertainment
859,Rambo III,189015611,53715611,28.4%,135300000,71.6%,1988,tt0095956,5039,63000000,'Action',en,18.191,1988-05-24,102.0,Ingenious Media
860,The Secret Life of Walter Mitty,188133322,58236838,31%,129896484,69%,2013,tt0359950,No Collection,90000000,'Adventure',en,14.997,2013-12-18,114.0,Universal Pictures
861,Jaws 2,187884007,81766007,43.5%,106118000,56.5%,1978,tt0077766,2366,20000000,'Horror',en,12.662,1978-06-16,116.0,New Regency
862,12 Years a Slave,187733202,56671993,30.2%,131061209,69.8%,2013,tt2024544,No Collection,20000000,'Drama',en,21.099,2013-10-18,134.0,Forward Pass
863,Heat,187436818,67436818,36%,120000000,64%,1995,tt0113277,No Collection,60000000,'Action',en,23.176,1995-12-15,170.0,Davis Entertainment
864,Mr. Popper's Penguins,187361754,68224452,36.4%,119137302,63.6%,2011,tt1396218,No Collection,55000000,'Comedy',en,10.988,2011-06-17,94.0,Vertigo Entertainment
865,The Grudge,187281115,110359362,58.9%,76921753,41.1%,2004,tt0391198,1974,10000000,'Horror',en,12.369000000000002,2004-10-22,92.0,Happy Madison
866,I Now Pronounce You Chuck & Larry,187134117,120059556,64.2%,67074561,35.8%,2007,tt0762107,No Collection,85000000,'Comedy',en,13.918,2007-07-12,115.0,Toho Company
867,Weathering with You,186965409,7798743,4.2%,179166666,95.8%,2019,tt9426210,No Collection,0,'Animation',ja,25.506999999999998,2019-07-19,112.0,Wildwood Enterprises
868,The Horse Whisperer,186883563,75383563,40.3%,111500000,59.7%,1998,tt0119314,No Collection,60000000,'Drama',en,12.651,1998-05-14,170.0,Mars Media
869,Walk the Line,186797986,119519402,64%,67278584,36%,2005,tt0358273,No Collection,28000000,'Drama',en,13.890999999999998,2005-09-13,136.0,DisneyToon Studios
870,The Jungle Book 2,186303759,47901582,25.7%,138402177,74.3%,2003,tt0283426,97459,20000000,'Family',en,16.166,2003-02-07,72.0,Parallel Zide
871,The Final Destination,186167139,66477700,35.7%,119689439,64.3%,2009,tt1144884,8864,40000000,'Horror',en,16.191,2009-08-26,82.0,Walt Disney
872,Atlantis: The Lost Empire,186053725,84056472,45.2%,101997253,54.8%,2001,tt0230011,100965,120000000,'Animation',en,14.718,2001-06-02,95.0,40 Acres
873,Inside Man,186003591,88513495,47.6%,97490096,52.4%,2006,tt0454848,631194,45000000,'Crime',en,17.847,2006-03-17,129.0,Touchstone Pictures
874,The Waterboy,185991646,161491646,86.8%,24500000,13.2%,1998,tt0120484,No Collection,23000000,'Comedy',en,12.347000000000001,1998-11-06,90.0,Paramount
875,Hugo,185770160,73864507,39.8%,111905653,60.2%,2011,tt0970179,No Collection,170000000,'Adventure',en,18.604,2011-11-22,126.0,Gold Circle
876,Pitch Perfect 3,185400345,104897530,56.6%,80502815,43.4%,2017,tt4765284,698638,45000000,'Comedy',en,17.993,2017-12-20,93.0,DC Comics
877,Watchmen,185382813,107509799,58%,77873014,42%,2009,tt0409459,No Collection,130000000,'Action',en,20.346,2009-03-05,162.0,United Artists
878,The Birdcage,185260553,124060553,67%,61200000,33%,1996,tt0115685,No Collection,31000000,'Comedy',en,8.872,1996-03-08,117.0,Bazmark Films
879,Moulin Rouge!,184928135,57386607,31%,127541528,69%,2001,tt0203009,No Collection,52500000,'Drama',en,16.480999999999998,2001-03-09,127.0,Walt Disney
880,Snow White and the Seven Dwarfs,184925486,184925486,100%,0,-,1937,tt0029583,No Collection,1488423,'Fantasy',en,28.21,1937-12-21,83.0,Illumination Entertainment
881,Hop,183953723,108085305,58.8%,75868418,41.2%,2011,tt1411704,No Collection,63000000,'Animation',en,14.283,2011-03-30,95.0,STX Entertainment
882,Bad Moms,183936074,113257297,61.6%,70678777,38.4%,2016,tt4651520,487376,20000000,'Comedy',en,14.158,2016-07-28,100.0,Anarchos Productions
883,Jupiter Ascending,183887723,47387723,25.8%,136500000,74.2%,2015,tt1617661,No Collection,176000003,'Science,en,30.295,2015-02-04,124.0,Summit Entertainment
884,Knowing,183658498,79957634,43.5%,103700864,56.5%,2007,tt0448011,No Collection,50000000,'Action',en,19.034000000000002,2009-03-19,121.0,Walt Disney
885,102 Dalmatians,183611771,66957026,36.5%,116654745,63.5%,2000,tt0211181,124916,85000000,'Comedy',en,12.946,2000-10-07,100.0,Warner Bros.
886,Storks,183388953,72679278,39.6%,110709675,60.4%,2016,tt4624424,No Collection,70000000,'Adventure',en,14.225,2016-09-22,87.0,Hey Eddie
887,Paul Blart: Mall Cop,183348429,146336178,79.8%,37012251,20.2%,2009,tt1114740,328372,26000000,'Action',en,10.460999999999999,2009-01-15,91.0,Paramount
888,Wayne's World,183097323,121697323,66.5%,61400000,33.5%,1992,tt0105793,8979,20000000,'Music',en,10.345,1992-02-14,94.0,Icon Entertainment
889,Maverick,183031272,101631272,55.5%,81400000,44.5%,1994,tt0110478,No Collection,75000000,'Action',en,17.637,1994-05-20,127.0,Misher Films
890,Mirror Mirror,183018522,64935167,35.5%,118083355,64.5%,2012,tt1667353,No Collection,85000000,'Adventure',en,21.017,2012-03-15,106.0,United Artists
891,The Man in the Iron Mask,182968902,56968902,31.1%,126000000,68.9%,1998,tt0120744,No Collection,35000000,'Action',en,13.715,1998-03-12,132.0,Universal Pictures
892,Cape Fear,182291969,79091969,43.4%,103200000,56.6%,1991,tt0101540,No Collection,35000000,'Thriller',en,17.076,1991-04-03,128.0,Doom Buggy
893,The Haunted Mansion,182290266,75847266,41.6%,106443000,58.4%,2003,tt0338094,No Collection,90000000,'Thriller',en,15.414000000000001,2003-11-25,88.0,Caravan Pictures
894,While You Were Sleeping,182057016,81057016,44.5%,101000000,55.5%,1995,tt0114924,No Collection,17000000,'Comedy',en,11.745,1995-04-21,103.0,Amblin Entertainment
895,The Bridges of Madison County,182016617,71516617,39.3%,110500000,60.7%,1995,tt0112579,No Collection,24000000,'Drama',en,10.105,1995-05-28,135.0,Virtual Studios
896,Poseidon,181674817,60674817,33.4%,121000000,66.6%,2006,tt0409182,No Collection,160000000,'Adventure',en,17.745,2006-05-10,99.0,Scott Rudin
897,The First Wives Club,181489203,105489203,58.1%,76000000,41.9%,1996,tt0116313,No Collection,26000000,'Comedy',en,8.068,1996-09-20,102.0,Mosaic Media
898,Scooby-Doo 2: Monsters Unleashed,181216833,84216833,46.5%,97000000,53.5%,2004,tt0331632,86860,0,'Mystery',en,18.677,2004-03-24,93.0,20th Century
899,Hot Shots!,181096164,69467617,38.4%,111628547,61.6%,1991,tt0102059,52988,26000000,'Action',en,11.773,1991-07-31,84.0,The Zanuck
900,Road to Perdition,181001478,104454762,57.7%,76546716,42.3%,2002,tt0257044,No Collection,80000000,'Crime',en,15.017999999999999,2002-07-12,117.0,Miramax
901,Kill Bill: Vol. 1,180899045,70099045,38.8%,110800000,61.2%,2003,tt0266697,2883,30000000,'Action',en,31.131999999999998,2003-10-10,111.0,Campbell Grobman
902,The Hitman's Bodyguard,180650747,75468583,41.8%,105182164,58.2%,2017,tt1959563,608101,30000000,'Action',en,24.250999999999998,2017-08-16,118.0,Universal Pictures
903,The Scorpion King,180630907,91047077,50.4%,89583830,49.6%,2002,tt0277296,116669,60000000,'Action',en,15.817,2002-04-18,92.0,Touchstone Pictures
904,Sweet Home Alabama,180622424,127223418,70.4%,53399006,29.6%,2002,tt0256415,No Collection,30000000,'Comedy',en,11.763,2002-09-26,108.0,Red Granite
905,Daddy's Home 2,180613180,104029443,57.6%,76583737,42.4%,2017,tt5657846,473971,69000000,'Comedy',en,14.117,2017-11-09,100.0,Scott Free
906,Deja Vu,180557550,64038616,35.5%,116518934,64.5%,2006,tt0453467,No Collection,75000000,'Action',en,26.549,2006-11-22,126.0,Permut Presentations
907,Hacksaw Ridge,180450918,67209615,37.2%,113241303,62.8%,2016,tt2119532,No Collection,40000000,'Drama',en,25.513,2016-10-07,139.0,20th Century
908,The Post,179769457,81903458,45.6%,97865999,54.4%,2017,tt6294822,No Collection,50000000,'Drama',en,23.521,2017-01-19,116.0,Don Simpson/Jerry
909,Dangerous Minds,179519401,84919401,47.3%,94600000,52.7%,1995,tt0112792,No Collection,23000000,'Thriller',en,9.971,1995-08-11,99.0,Four By
